date,close,volume,open,high,low
05-02-2016,50.16,61262540,51.94,52,49.56
04-02-2016,52,46967100,52.1,52.81,51.37
03-02-2016,52.16,57526850,53.25,53.39,51.26
02-02-2016,53,55388320,54.17,54.26,52.65
01-02-2016,54.71,44172930,54.88,55.09,54.495
29-01-2016,55.09,83559310,54.73,55.09,54
28-01-2016,52.055,61275100,51.86,52.21,51.25
27-01-2016,51.22,36647310,52.01,52.2,51.0201
26-01-2016,52.17,28768620,51.79,52.44,51.55
25-01-2016,51.79,34654900,51.94,52.65,51.65
22-01-2016,52.29,36881330,51.41,52.33,51.26
21-01-2016,50.48,40172530,51,51.58,50.3
20-01-2016,50.79,63249630,49.98,51.38,49.1
19-01-2016,50.56,43484630,51.48,51.68,50.06
15-01-2016,50.99,71037400,51.31,51.97,50.34
14-01-2016,53.11,52227000,52,53.4163,51.57
13-01-2016,51.64,66862860,53.8,54.07,51.3038
12-01-2016,52.78,36061760,52.76,53.1,52.06
11-01-2016,52.3,36889200,52.51,52.85,51.46
08-01-2016,52.33,48718970,52.37,53.28,52.15
07-01-2016,52.17,56497950,52.7,53.485,52.07
06-01-2016,54.05,39498780,54.32,54.4001,53.64
05-01-2016,55.05,34059040,54.93,55.39,54.54
04-01-2016,54.8,53209740,54.32,54.8,53.39
31-12-2015,55.48,27329930,56.04,56.19,55.42
30-12-2015,56.31,21690270,56.47,56.78,56.2875
29-12-2015,56.55,27727810,56.29,56.85,56.06
28-12-2015,55.95,21704030,55.35,55.95,54.98
24-12-2015,55.67,9570002,55.86,55.96,55.43
23-12-2015,55.82,27269200,55.7,55.88,55.44
22-12-2015,55.35,28305310,54.99,55.48,54.5
21-12-2015,54.83,37221910,54.88,55.35,54.2262
18-12-2015,54.13,84141520,55.77,56,54.03
17-12-2015,55.7,41244620,56.36,56.79,55.5348
16-12-2015,56.13,37473420,55.54,56.245,54.76
15-12-2015,55.2,39678290,55.66,55.9,55.09
14-12-2015,55.14,46963970,54.33,55.21,53.68
11-12-2015,54.06,39535140,54.71,55.1,54.01
10-12-2015,55.27,31771820,55.39,55.655,55.01
09-12-2015,54.98,36359780,55.37,55.87,54.51
08-12-2015,55.79,32752860,55.47,56.1,54.99
07-12-2015,55.81,30704980,55.79,55.97,55.29
04-12-2015,55.91,43954660,54.12,56.23,54.1
03-12-2015,54.2,38625370,55.49,55.77,53.93
02-12-2015,55.21,47249030,55.32,55.96,55.06
01-12-2015,55.22,39912320,54.41,55.23,54.3
30-11-2015,54.35,54403560,54.54,54.96,53.9999
27-11-2015,53.93,9009132,53.8,54.08,53.79
25-11-2015,53.69,20987820,54.09,54.23,53.69
24-11-2015,54.25,24589530,53.92,54.44,53.58
23-11-2015,54.19,28218110,54.25,54.46,53.75
20-11-2015,54.19,37106670,54.25,54.3,53.265
19-11-2015,53.94,28141820,53.99,54.66,53.781
18-11-2015,53.85,29125950,53,53.98,52.9799
17-11-2015,52.97,31546750,53.17,53.53,52.85
16-11-2015,53.765,31944340,53.08,53.89,52.85
13-11-2015,52.84,36796370,53.07,53.29,52.53
12-11-2015,53.32,35304350,53.48,53.9791,53.19
11-11-2015,53.65,34010630,53.7,54.2,53.46
10-11-2015,53.51,55268090,54.07,54.13,53.27
09-11-2015,54.16,32498870,54.55,54.87,53.56
06-11-2015,54.92,32835100,54.085,54.98,53.964
05-11-2015,54.38,31466080,54.49,54.7,54
04-11-2015,54.4,37084780,54.18,54.88,54.06
03-11-2015,54.15,36584100,52.93,54.39,52.9
02-11-2015,53.24,30229020,52.85,53.36,52.62
30-10-2015,52.64,46602700,53.32,53.99,52.62
29-10-2015,53.36,30109050,53.54,53.83,53.22
28-10-2015,53.98,46948360,53.54,53.98,52.86
27-10-2015,53.69,50959580,53.99,54.37,53.58
26-10-2015,54.25,64541790,52.53,54.32,52.5
23-10-2015,52.87,135152900,52.3,54.07,52.25
22-10-2015,48.03,55888280,47.53,48.95,47.09
21-10-2015,47.2,25222760,47.92,47.99,47.11
20-10-2015,47.77,30794100,47.44,47.81,47.02
19-10-2015,47.62,29357660,47.42,47.88,47.02
16-10-2015,47.51,25845550,47.02,47.54,46.897
15-10-2015,47.01,27155510,47.01,47.03,46.53
14-10-2015,46.68,24693460,46.65,47.1,46.53
13-10-2015,46.89,19985330,46.56,47.1299,46.56
12-10-2015,47,19756420,46.98,47.07,46.5
09-10-2015,47.11,28581690,47.45,47.54,46.92
08-10-2015,47.45,33733860,46.56,47.515,46.5
07-10-2015,46.8,27695610,47.1,47.35,45.95
06-10-2015,46.75,27504360,46.33,47.175,46.22
05-10-2015,46.63,33546080,45.745,46.89,45.7
02-10-2015,45.57,41789610,44.27,45.57,43.92
01-10-2015,44.61,28564790,44.75,44.75,43.75
30-09-2015,44.26,34944070,43.88,44.3,43.66
29-09-2015,43.44,32748610,43.37,43.57,43.05
28-09-2015,43.29,27454240,43.83,44.085,43.205
25-09-2015,43.94,29378050,44.48,44.73,43.76
24-09-2015,43.91,27867010,43.45,44.13,43.27
23-09-2015,43.87,17099600,43.93,44.17,43.51
22-09-2015,43.9,28060540,43.38,44.05,43.31
21-09-2015,44.11,26084680,43.62,44.47,43.6
18-09-2015,43.48,63000180,43.5,43.99,43.33
17-09-2015,44.25,29908540,44.29,45,44.08
16-09-2015,44.3,23337620,43.97,44.38,43.84
15-09-2015,43.98,28831030,43.19,44.29,43.08
14-09-2015,43.04,23654490,43.43,43.44,42.86
11-09-2015,43.48,26475350,43.14,43.59,42.9399
10-09-2015,43.29,31313520,43.12,43.79,42.745
